element_type,osmid,name,geometry,latitude,longitude
node,1866502248,Pharmacie Centrale الصيدلية المركزية,POINT (-4.9978456 34.036761),34.036761,-4.9978456
node,2328748922,Pharmacie Filali صيدلية فيلالي,POINT (-5.0057261 34.0400364),34.0400364,-5.0057261
node,3718016810,Pharmacie Rcif صيدلية الرصيف,POINT (-4.9730652 34.0607842),34.0607842,-4.9730652
node,4606353707,Pharmacie Irchad صيدلية إرشاد,POINT (-5.0299565 34.0091704),34.0091704,-5.0299565
node,4681620692,Pharmacie Basmati صيدلية بسمتي,POINT (-5.0335195 34.0165709),34.0165709,-5.0335195
node,4698968089,Pharmacie Lablida صيدلية البليدة,POINT (-4.9713274 34.0665469),34.0665469,-4.9713274
node,4711448391,Pharmacie la Tulipe صيدلية لاتوليب,POINT (-5.0204776 34.0155439),34.0155439,-5.0204776
node,4711868990,Pharmacie de la Liberté صيدلية الحرية,POINT (-4.9969331 34.0452085),34.0452085,-4.9969331
node,4711934790,Pharmacie les Palmiers صيدلية النخيل,POINT (-5.0015078 34.0394593),34.0394593,-5.0015078
node,4711934894,Pharmacie de France صيدلية فرنسا,POINT (-4.9987649 34.0429619),34.0429619,-4.9987649
node,4712385991,Pharmacie l'Amitié صيدلية الصداقة,POINT (-5.0096513 34.014454),34.014454,-5.0096513
node,4712445890,Pharmacie Bouslikhane صيدلية بوسليخن,POINT (-5.0261096 34.0094085),34.0094085,-5.0261096
node,4712508653,Pharmacie Acima صيدلية أسيما,POINT (-5.0105717 34.0296079),34.0296079,-5.0105717
node,4724813489,Pharmacie Echadli صيدلية الشادلي,POINT (-5.0322131 34.0078033),34.0078033,-5.0322131
node,4725748199,Pharmacie Allal Ben Abdellah صيدلية علال بن عبد الله,POINT (-5.0069404 34.033564),34.033564,-5.0069404
node,4729539594,Pharmacie du Maroc صيدلية المغرب,POINT (-4.9817913 34.0604344),34.0604344,-4.9817913
node,4730950544,Pharmacie la Criée صيدلية المزاد,POINT (-5.0434417 34.0005071),34.0005071,-5.0434417
node,4738031421,Pharmacie Bahja صيدلية البهجة,POINT (-4.9986734 34.0389152),34.0389152,-4.9986734
node,4738681626,Pharmacie de la Santé صيدلية الصحة,POINT (-4.9854532 34.0128456),34.0128456,-4.9854532
node,4740427422,Pharmacie Idrissi صيدلية الإدريسي,POINT (-5.0034341 34.0267254),34.0267254,-5.0034341
node,4741642523,Pharmacie Debbagh صيدلية الدباغ,POINT (-5.0038728 34.0428163),34.0428163,-5.0038728
node,4744887621,Pharmacie et Laboratoire Al Amrani صيدلية و مختبر العمراني,POINT (-5.001262 34.0421156),34.0421156,-5.001262
node,4746773124,Pharmacie Moulay El Kamel صيدلية مولاي الكامل,POINT (-5.0084996 34.0365542),34.0365542,-5.0084996
node,4746889021,Pharmacie Mimousa صيدلية ميموزة,POINT (-5.0123203 34.0326314),34.0326314,-5.0123203
node,4753542728,Pharmacie Zemmouri صيدلية الزموري,POINT (-5.0190467 34.0185021),34.0185021,-5.0190467
node,4757773462,Pharmacie et Laboratoire El Karaouyine صيدلية و مختبر القرويين,POINT (-4.9929013 34.0210364),34.0210364,-4.9929013
node,4759451623,Pharmacie Jnane Fès صيدلية جنان فاس,POINT (-5.0051309 34.0304772),34.0304772,-5.0051309
node,4759495424,Pharmacie Oudghiri صيدلية الودغيري,POINT (-5.0078186 34.030867),34.030867,-5.0078186
node,4763995654,Pharmacie Assalama صيدلية السلامة,POINT (-5.0029903 34.0451989),34.0451989,-5.0029903
node,4772565121,Pharmacie Route d'Immouzer صيدلية طريق إيموزار,POINT (-4.9959536 34.0196299),34.0196299,-4.9959536
node,4774537683,Pharmacie de l'Hôpital صيدلية المستشفى,POINT (-4.9936096 34.0392486),34.0392486,-4.9936096
node,4788557121,Pharmacie Moulay Driss صيدلية مولاي ادريس,POINT (-5.0189835 34.0336413),34.0336413,-5.0189835
node,4788557323,Pharmacie le Palais صيدلية القصر,POINT (-5.0229027 34.0307431),34.0307431,-5.0229027
node,4797223421,Pharmacie Nouzha صيدلية النزهة,POINT (-5.0108792 34.0117154),34.0117154,-5.0108792
node,4801102022,Pharmacie El Fath صيدلية الفتح,POINT (-5.0003795 34.0374402),34.0374402,-5.0003795
node,4801209322,Pharmacie la Croix Verte صيدلية لاكروا فيرت,POINT (-4.9981613 34.0385288),34.0385288,-4.9981613
node,4802070122,Pharmacie Marjane صيدلية مرجان,POINT (-5.0355052 34.0492382),34.0492382,-5.0355052
node,4803244621,Pharmacie Al Ichrak صيدلية الإشراق,POINT (-5.0109578 34.0167606),34.0167606,-5.0109578
node,4803711989,Pharmacie Al Mernissi صيدلية المرنيسي,POINT (-5.0129692 34.0392401),34.0392401,-5.0129692
node,4805354921,Pharmacie Masjid Ataqwa صيدلية مسجد التقوى,POINT (-5.0056751 34.0194622),34.0194622,-5.0056751
node,4805418523,Pharmacie Sounni صيدلية السني,POINT (-5.0079836 34.0182594),34.0182594,-5.0079836
node,4805680322,Pharmacie Bennani صيدلية بناني,POINT (-5.02417 34.032488),34.032488,-5.02417
node,4807116122,Pharmacie Arrachad صيدلية الرشاد,POINT (-5.026931 34.0156004),34.0156004,-5.026931
node,4807118621,Pharmacie Farah صيدلية فرح,POINT (-5.0122016 34.0221038),34.0221038,-5.0122016
node,4807118622,Pharmacie Belbacha صيدلية بالباشة,POINT (-5.013688 34.0304648),34.0304648,-5.013688
node,4807373024,Pharmacie Moulay Slimane صيدلية مولاي سليمان,POINT (-5.0005704 34.029394),34.029394,-5.0005704
node,4811706021,Pharmacie la Station صيدلية المحطة,POINT (-5.0456351 34.0094418),34.0094418,-5.0456351
node,4811862222,Pharmacie Azzahraouayn صيدلية الزهراويين,POINT (-5.0407415 34.0247453),34.0247453,-5.0407415
node,4814399221,Pharmacie Imam Ali صيدلية الإمام علي,POINT (-5.006424 34.0423848),34.0423848,-5.006424
